PeakN Before Tidy	Blacklisted Peaks Removed (%)	Non-standard Peaks Removed (%)	PeakN After Tidy
60064	0.0999	0.526	59688
110709	0.174	0.447	110021
73765	0.21	0.493	73246
65526	0.192	0.491	65078
41891	0.0549	0.465	41673
115270	0.12	0.37	114706
99997	0.077	0.426	99494
73878	0.0704	0.422	73514
86813	0.114	0.469	86307
68356	0.118	0.448	67969
80329	0.0921	0.429	79910
71682	0.151	0.632	71121
61249	0.126	0.41	60921
64540	0.0651	0.318	64293
73885	0.142	0.357	73516
79974	0.175	0.366	79541
78098	0.118	0.393	77699
75996	0.114	0.353	75641
